Command,Value
mute,80BF39C6
1,80BF49B6
2,80BF49B6
3,80BF49B6
4,80BF718E
5,80BFF10E
6,80BFF10E
7,80BF51AE
8,80BFD12E
9,80BF23DC
0,80BFE11E
menu,80BFA956
setup,80BF08F7
back,80BF41BE
exit,80BFA35C
ok,80BF738C
up,80BF53AC
left,80BF9966
right,80BF837C
down,80BF4BB4
info,80BF0BF4
epg,80BF6B94
volume_up,80BFA15E
volume_down,80BF619E
button_top,80BF5BA4
button_middle,80BF59A6
butoon_bottom,80BFB946
channel_up,80BF01FE
channel_down,80BF817E
diagnostics,80BFB14E
events,80BF8976
fav,80BF936C
tv_or_radio,80BFF30C
audio,80BFC13E
mail,80BFB34C
next_to_mail,80BF11EE
audio_l_or_r,80BF9B64
red,80BF6996
green,80BF43BC
yellow,80BFC33C
blue,80BF21DE
